Datetime,Date,Dummy,Hour,Day-ahead Price [GBP/MWh],Demand Forecast [MWh],Wind Forecast [MW],Solar Forecast [MW],Last Closing Gas Price [GBpence/therm]
2023-08-15 20:00:00+00:00,15/08/2023,2,20,98.8,28465.0,1331.0,0.0,133.48
2023-08-15 21:00:00+00:00,15/08/2023,2,21,92.925,28259.5,1243.5,0.0,133.48
2023-08-15 22:00:00+00:00,15/08/2023,2,22,88.725,26404.5,1088.5,0.0,133.48
2023-08-15 23:00:00+00:00,15/08/2023,2,23,82.135,24657.5,953.0,0.0,133.48
2023-08-16 00:00:00+00:00,15/08/2023,2,24,78.445,22216.5,776.5,0.0,133.48
2023-08-16 01:00:00+00:00,16/08/2023,3,1,75.5,20546.0,633.0,0.0,144.26
2023-08-16 02:00:00+00:00,16/08/2023,3,2,76.945,19745.0,560.0,0.0,144.26
2023-08-16 03:00:00+00:00,16/08/2023,3,3,81.93,19151.5,519.5,0.0,144.26
2023-08-16 04:00:00+00:00,16/08/2023,3,4,90.32,18677.0,495.0,0.0,144.26
2023-08-16 05:00:00+00:00,16/08/2023,3,5,100.49,18633.0,469.5,21.48751779,144.26
2023-08-16 06:00:00+00:00,16/08/2023,3,6,101.08,19256.5,437.0,164.4984017,144.26
2023-08-16 07:00:00+00:00,16/08/2023,3,7,92.215,21654.0,404.5,710.12319,144.26
2023-08-16 08:00:00+00:00,16/08/2023,3,8,83.125,24461.0,377.0,1554.735149,144.26
2023-08-16 09:00:00+00:00,16/08/2023,3,9,77.96,26123.0,359.0,2234.96253,144.26
2023-08-16 10:00:00+00:00,16/08/2023,3,10,74.305,25595.5,359.5,2592.3789,144.26
2023-08-16 11:00:00+00:00,16/08/2023,3,11,71.635,24715.0,391.0,2647.8955,144.26
2023-08-16 12:00:00+00:00,16/08/2023,3,12,72.725,24311.5,448.5,2798.0582,144.26
2023-08-16 13:00:00+00:00,16/08/2023,3,13,78.415,24365.0,548.0,2498.00618,144.26
2023-08-16 14:00:00+00:00,16/08/2023,3,14,87.12,23963.5,668.0,1962.0433,144.26
2023-08-16 15:00:00+00:00,16/08/2023,3,15,98.165,24186.5,742.0,1545.060055,144.26
2023-08-16 16:00:00+00:00,16/08/2023,3,16,111.615,24744.5,557.0,1078.570724,144.26
2023-08-16 17:00:00+00:00,16/08/2023,3,17,120.67,25830.0,614.5,504.860057,144.26
2023-08-16 18:00:00+00:00,16/08/2023,3,18,120.41,27381.0,738.5,186.636831,144.26
2023-08-16 19:00:00+00:00,16/08/2023,3,19,113.02,28221.5,843.0,23.12925792,144.26
2023-08-16 20:00:00+00:00,16/08/2023,3,20,98.995,28268.5,969.5,0.0,144.26
2023-08-16 21:00:00+00:00,16/08/2023,3,21,90.63,27859.5,1116.0,0.0,144.26
2023-08-16 22:00:00+00:00,16/08/2023,3,22,87.255,27397.5,1214.5,0.0,144.26
2023-08-16 23:00:00+00:00,16/08/2023,3,23,79.91,25417.0,2057.5,0.0,144.26
2023-08-17 00:00:00+00:00,16/08/2023,3,24,74.835,22608.5,2953.0,0.0,144.26
2023-08-17 01:00:00+00:00,17/08/2023,4,1,71.84,20528.5,3110.5,0.0,142.16
2023-08-17 02:00:00+00:00,17/08/2023,4,2,71.02,19681.5,3256.0,0.0,142.16
2023-08-17 03:00:00+00:00,17/08/2023,4,3,75.675,18987.0,3457.0,0.0,142.16
2023-08-17 04:00:00+00:00,17/08/2023,4,4,86.375,18442.0,3820.0,0.0,142.16
2023-08-17 05:00:00+00:00,17/08/2023,4,5,98.17,18414.5,4328.0,23.18158184,142.16
2023-08-17 06:00:00+00:00,17/08/2023,4,6,100.39,18997.5,4874.5,169.5647698,142.16
2023-08-17 07:00:00+00:00,17/08/2023,4,7,92.985,21303.0,5238.0,541.868893,142.16
2023-08-17 08:00:00+00:00,17/08/2023,4,8,85.275,23963.5,5550.5,1144.374474,142.16
2023-08-17 09:00:00+00:00,17/08/2023,4,9,78.695,25512.0,5824.0,1733.215705,142.16
2023-08-17 10:00:00+00:00,17/08/2023,4,10,74.71,25219.5,5840.0,2297.47997,142.16
2023-08-17 11:00:00+00:00,17/08/2023,4,11,71.96,24233.5,6194.5,2726.04603,142.16
2023-08-17 12:00:00+00:00,17/08/2023,4,12,70.99,23956.0,6522.5,2916.34914,142.16
2023-08-17 13:00:00+00:00,17/08/2023,4,13,72.715,23779.0,6881.0,2959.65663,142.16
2023-08-17 14:00:00+00:00,17/08/2023,4,14,77.0,22858.0,7194.0,2815.32429,142.16
2023-08-17 15:00:00+00:00,17/08/2023,4,15,86.41,22921.0,7501.5,2299.25277,142.16
