Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1
Day-ahead Price [GBP/MWh]_standardized d-1 h=14,0.01703517275349424,0.04553902101674153,0.08701208400907884,0.1520634829870297,0.5443495311886795,0.3910456356282702,0.06103244298022137,0.11468721258278232,0.0,0.0,0.0,0.0,0.026967132307495877,0.27320056326413217,0.0,-0.0,-0.0,0.02530108448145551,0.06863884293468465,-0.0,-0.08111134622853482,-0.16418484339614192,-0.23843761550804007,-0.171234574488186
Day-ahead Price [GBP/MWh]_standardized d-1 h=15,0.0,0.01011241216001451,0.0,0.0,0.0,0.07700661153043174,0.26485651570758745,0.02753400637729512,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.25370059554011004,0.2684210470862019,0.35457027289942,0.248825379453974,0.0,-0.08198659056541122,-0.13687138034939247,-0.028131593880579328,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=16,-0.0,0.0,0.010839361756355068,0.014110204403069674,0.03192731574237851,0.106311515773707,0.020515348478406636,0.0,-0.003761585764646873,-0.023162502954144588,-0.011174895658346503,0.007757424328446666,0.03420059457992145,0.055785724311551176,0.07399827996161254,0.4565565249734916,0.27490937773853313,0.0,0.041517456187465246,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=17,-0.0024814480679057104,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.05077295922024557,-0.014062554505220197,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.04423972658189618,0.0,0.10604900992604127,0.040540295168233494,0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=18,-0.012972126427438243,-0.043461646737755516,-0.0,0.0,-0.0,0.015155154702080162,0.2215873363848026,0.4591164448125555,0.614918848041092,0.6062446333732581,0.5409736960997205,0.43399721451340817,0.33383218695089606,0.29061840292527547,0.3347147727346276,0.41459584171942804,0.5598440019767927,0.4074175082482391,0.18902084838665217,0.0,0.12319436952880804,0.07943091485484588,0.0799701595663362,0.08461101514707896
Day-ahead Price [GBP/MWh]_standardized d-1 h=19,-0.0,-0.009532323410759682,-0.07445801661732339,-0.023848419552433373,0.0,0.041990745933169295,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.07969413166812711,0.0,0.06647592745653717,0.10447122413238752,0.19399151274292076,0.22543580953994494,0.03286486186662573,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=20,-0.0,-0.0,-0.0,-0.0,0.07077226902117584,-0.0,-0.16999731561626824,-0.18861406980951623,-0.2801603004750213,-0.2821042947336346,-0.2537233536765112,-0.26842640285697567,-0.24700743215937965,-0.04361825698317203,-0.11616622389144719,-0.5580490499080111,-0.43686617980886183,-0.03788709702488517,-0.0,-0.0,-0.0,-0.015080004265707972,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=21,-0.0,-0.0,-0.0,0.0,0.03107279422706562,0.0,-0.006372070252875032,-0.17769073039844238,-0.07206749929962977,-0.0,-0.0,-0.0,-0.0,-0.29194940650908985,-0.4182012341206997,-0.0,-0.0416609384643032,-0.320885937310911,-0.1097324894187719,-0.0,-0.26871122134469616,-0.32708676260213015,-0.1812046431966262,-0.1790367646565262
Day-ahead Price [GBP/MWh]_standardized d-1 h=22,-0.02444473076441208,-0.024120829848742354,-0.0,0.0009313936612089463,0.20419945870988981,0.27151718040148903,0.26385469271400636,0.41947877106860887,0.25454802345900873,0.12190014229153741,0.06426231746447299,0.09355182968201846,0.13383977672687522,0.3682960673717492,0.7117406118134005,0.6409202508153512,0.6931319272107015,0.859405462008936,0.56495851101587,0.5233083256284435,0.4053078447803069,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=23,-0.14981600890491595,-0.11891215819693697,-0.0,0.0,0.0,0.27204991516939475,0.4775357474184488,0.39017358269410546,0.46528893563589313,0.5439085012031182,0.5800454670459916,0.5347195239230752,0.5108873999925012,0.4169294451283111,0.0904532262937334,0.1957676563581789,0.12938066777948237,0.0,0.3347475892741164,0.475397315337374,0.21255372593782454,0.6378441985438897,0.5727606538908158,0.5589935415371231
Day-ahead Price [GBP/MWh]_standardized d-1 h=24,1.1313074710065743,1.0759383394283026,0.8933041402031603,0.824992369134814,0.5440855677575203,0.19304665347981906,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.053630579213296135,0.21261292911112611,0.0,-0.010387842906645706,-0.00861945688357582,-0.2496628967580142,-0.4926009067155562,-0.0,0.0,0.0,0.003783390718194969
Day-ahead Price [GBP/MWh]_standardized d-2 h=1,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04244625788492328,0.0,0.0,0.0,0.0,-0.0,0.0,0.08785134041287714,0.18997875111113957,0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=2,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.05567920133386426,0.20067280421003403,0.38980148690185473,0.2661127866710109,0.07780409688717527,0.0,0.0,-0.0,-0.0,-0.0,-0.02165291665977261
Day-ahead Price [GBP/MWh]_standardized d-2 h=3,-0.0,-0.011458091540894803,-0.01758747152702423,-0.02493145993057735,-0.12480899926842685,-0.07062541090178902,-0.015570072209734684,-0.0,-0.0027505966128200067,-0.05343026504918722,-0.02685393620024777,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00210614172591761,-0.12245451919143646,-0.0972490614369332,-0.06369629269443598
Day-ahead Price [GBP/MWh]_standardized d-2 h=4,0.0,-0.0,-0.07479055126796436,-0.1279985546466316,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.03478546195476044,-0.043740745415543215,-0.11810211213296998,-0.1604583467017128,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.01471563377798704,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=5,0.0,-0.0,-0.0,-0.0,-0.04066030610510522,-0.06438759286548702,-0.11739140788737312,-0.15118112016623209,-0.09541152488853959,-0.05566139312884923,-0.055535147287052854,-0.0,-0.003457239260311148,-0.02222588666613227,-0.07468152289134988,-0.5490718085051403,-0.46556268309456467,-0.1777442144154131,-0.19729708372493363,-0.3443460632657948,-0.22782377008009544,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=6,0.0,-0.0,-0.0,-0.019777412419733242,-0.05426678445060105,-0.0,0.0,0.0,0.0,0.0,0.02769831923139134,0.032793959293480765,0.0,-0.0,0.046783494037846665,0.4131545730052836,0.38126826790889,0.15358303892013472,0.2381516861444683,0.32502710434791415,0.18006397089044332,0.0,0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=7,-0.008047146444300358,-0.012933605221815248,-0.0,-0.02142656172015763,-0.0,-0.0,0.0,0.059079752824836684,0.051053679539031595,0.06563389175233161,0.0,0.0,-0.0,-0.0,0.0,0.0,0.04978576288891316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=8,-0.0,-0.003293471808840588,-0.0,-0.0,-0.04954672516327514,-0.11833633089947374,-0.24789141734475,-0.4337121611013039,-0.5697201438031692,-0.6654455858209787,-0.6587369817794063,-0.671396665283833,-0.6753078138255555,-0.7469586540987964,-0.8088782107317586,-0.7685196243400421,-0.8263697522615244,-1.080024010365918,-1.2019039597361625,-1.0920300509852372,-0.5263718902189695,-0.04077463173468174,-0.10597435060877203,-0.07296895344652685
Day-ahead Price [GBP/MWh]_standardized d-2 h=9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.09194121739268142,0.25684610018694165,0.22168248317453593,0.21414167996015987,0.9604803307193486,1.2267320658805547,1.043615416022506,0.4768220689633892,0.0,0.0,0.0
