Date,Actual,Predicted
2022-12-11,292.685,308.1873550496719
2022-12-11,277.51,295.9437910997466
2022-12-11,269.365,296.64638670425217
2022-12-11,267.395,290.2849141136787
2022-12-12,264.31,261.1254556769067
2022-12-12,260.135,257.8100009145018
2022-12-12,260.61,262.5127321771511
2022-12-12,271.585,281.18420818471486
2022-12-12,348.835,315.7675258650121
2022-12-12,578.51,350.12470133462466
2022-12-12,792.645,370.19576184168636
2022-12-12,780.6,385.2788585000552
2022-12-12,656.645,383.5310585337797
2022-12-12,593.565,377.87736942960606
2022-12-12,598.0100000000001,379.41418671874067
2022-12-12,609.855,381.2991894629488
2022-12-12,611.36,382.07893788745685
2022-12-12,618.1400000000001,390.1587612591935
2022-12-12,1048.165,460.07542450279925
2022-12-12,1665.005,575.7131304796138
