Ytrue,Yp
61.705,82.100784
58.34,82.053635
60.465,84.40462
70.85,90.62184
78.19,90.44133
105.34,98.329
139.1,101.83653
152.99,105.52616
160.78,98.05999
153.675,107.596405
143.305,104.16316
126.475,109.596054
111.105,108.32825
123.58,125.51614
148.415,158.60529
145.235,138.75333
119.645,119.25858
89.935,110.78039
64.41,102.27889
50.575,98.723595
33.995,100.71319
20.63,99.358894
16.585,100.44539
9.665,79.793625
3.165,74.10716
1.44,74.49983
1.61,82.75195
9.12,84.32571
19.42,89.05366
34.94,91.30798
53.18,95.49287
69.475,100.51081
85.375,96.19193
98.815,98.89445
116.23,109.719505
127.75,114.24701
130.08,113.45307
146.925,127.86572
175.58,150.90706
181.38,155.7247
163.995,125.26359
145.82,111.13204
138.56,104.861496
104.525,94.90022
73.35,89.96603
74.05,92.28051
68.905,95.141426
60.975,72.969925
54.45,70.820526
57.59,70.0819
76.805,80.42438
107.81,96.73788
134.325,105.08942
151.3,109.62987
157.08,112.11538
150.75,116.49191
141.285,113.43147
136.565,117.55377
136.765,121.08323
138.635,123.23422
140.29,121.854935
151.17,132.70616
171.86,165.78125
173.545,149.27097
156.74,138.54396
147.63,122.936295
136.87,112.869835
111.68,104.66824
93.67,98.6988
88.78,96.211296
85.955,95.89689
83.7,71.89323
82.7,69.52066
87.48,67.152534
105.29,75.6393
133.09,94.41949
156.32,100.550896
165.895,112.0815
158.74,116.621376
148.265,111.19033
142.335,109.36197
138.255,115.450035
138.13,118.470634
138.525,117.88472
136.085,118.46294
139.69,140.17809
149.415,160.0512
149.53,153.78949
144.715,138.11646
133.6,126.33186
104.7,110.56526
72.01,102.587494
42.525,98.80069
24.16,99.0041
19.235,96.6739
14.245,72.08996
9.53,66.7122
10.44,72.390015
32.5,77.08373
68.96,95.37094
109.525,103.15194
137.165,104.55987
139.69,117.36605
133.635,116.26549
128.0,113.91312
127.855,113.24988
132.28,115.04664
136.515,115.834465
135.975,116.40115
148.3,131.80098
165.865,129.52957
169.915,141.3715
162.25,125.03265
144.89,122.15218
116.365,110.130775
82.155,100.525
46.77,97.238434
28.275,96.66104
28.665,97.18406
24.91,70.36699
23.18,66.22236
23.105,67.54025
35.815,76.234924
74.38,91.17495
121.64,105.862816
157.16,108.947395
170.64,120.50815
159.12,111.26982
139.675,111.81733
131.21,107.44062
128.335,114.16387
121.715,114.72715
111.925,119.56744
126.03,135.82985
157.415,160.99167
164.09,150.6856
159.95,133.07585
147.27,122.08899
104.6,111.07784
57.14,100.255165
28.645,94.04367
14.77,93.06248
8.885,88.76421
3.715,48.65225
0.07,41.039192
1.36,45.0596
22.355,47.609737
64.245,75.78473
102.58,92.835396
133.0,117.98276
150.655,120.99653
144.04,129.56735
133.81,109.45021
131.91,109.938065
127.65,111.29748
121.605,114.14726
121.625,119.9032
134.52,138.93866
160.26,166.57816
172.375,158.38127
168.91,137.54465
154.935,128.1865
139.845,110.876595
116.01,86.78268
90.68,80.56592
76.65,80.754005
58.645,78.614296
48.015,55.94318
39.01,45.068363
31.565,52.53092
33.18,52.53147
42.835,77.4566
53.835,93.9051
80.725,117.143456
127.595,121.17433
152.52,130.2958
142.545,131.71167
132.86,130.3455
123.49,127.16425
107.44,135.00835
103.35,132.95747
129.82,149.63818
172.145,162.20264
179.26,148.03476
149.605,138.82541
92.89,124.19689
47.69,108.45272
35.805,89.91825
24.985,76.282684
17.55,82.01148
12.0,72.762375
6.05,39.69474
1.7,30.26345
0.155,33.45797
-0.01,37.176918
4.21,57.55804
13.735,71.58766
30.515,79.71985
72.885,95.18264
124.325,110.35457
138.455,108.47681
143.99,110.96187
154.56,104.900055
156.185,109.1354
147.095,110.65054
151.84,135.38008
192.585,160.7944
211.585,157.95271
193.625,132.15373
165.245,118.2904
149.885,103.955414
154.35,86.06245
153.985,72.061005
156.33,77.67767
164.325,68.226555
152.39,135.34756
133.15,128.35605
120.715,133.56844
122.87,142.85065
148.2,185.67085
164.83,230.90633
165.365,250.27908
167.265,256.13736
161.315,261.40384
149.935,252.86058
143.355,247.90175
141.035,257.86166
142.095,263.39658
146.395,273.6238
155.77,292.6909
176.29,316.63013
188.53,293.0535
192.505,282.68597
175.47,246.32965
143.305,217.37852
127.175,183.78214
125.67,174.1667
130.96,169.82278
131.11,160.056
127.255,98.76582
121.69,99.98882
121.79,97.62978
134.21,117.415794
157.485,158.73924
177.08,193.00247
189.05,219.9618
194.815,227.71785
186.995,229.64914
171.355,227.98552
160.65,221.04659
155.27,232.93826
