Ytrue,Yp
74.38,87.15344
121.64,111.97578
157.16,109.00354
170.64,97.98734
159.12,86.442696
139.675,76.90279
131.21,78.146095
128.335,82.27124
121.715,84.310555
111.925,92.52184
126.03,112.975914
157.415,129.38097
164.09,134.0722
159.95,99.98103
147.27,76.57538
104.6,66.31489
57.14,63.494293
28.645,58.587345
14.77,49.089737
8.885,48.368027
3.715,43.498276
0.07,38.826366
1.36,35.13992
22.355,49.120533
64.245,66.57739
102.58,87.90701
133.0,93.18104
150.655,89.014755
144.04,83.09093
133.81,82.076996
131.91,82.39714
127.65,84.49325
121.605,90.50813
121.625,95.47129
134.52,108.43073
160.26,130.06575
172.375,132.37662
168.91,111.1782
154.935,96.822914
139.845,84.868256
116.01,80.25779
90.68,69.709076
76.65,71.39444
58.645,68.121445
48.015,79.042046
39.01,73.33355
31.565,70.23721
33.18,75.40299
42.835,85.3231
53.835,99.68337
80.725,103.433495
127.595,102.061584
152.52,84.66447
142.545,78.83506
132.86,73.90601
123.49,71.152885
107.44,82.49156
103.35,80.37545
129.82,98.93013
172.145,116.42146
179.26,124.22245
149.605,96.08209
92.89,86.772415
47.69,84.332726
35.805,84.6155
24.985,72.14842
17.55,70.9626
12.0,61.63613
6.05,24.767359
1.7,30.322063
0.155,34.77061
-0.01,50.483128
4.21,56.474007
13.735,71.31936
30.515,92.86985
72.885,93.44595
124.325,87.261665
138.455,86.91257
143.99,102.6746
154.56,112.19701
156.185,119.6335
147.095,134.96819
151.84,146.2828
192.585,164.37895
211.585,164.83044
193.625,152.97456
165.245,140.62915
149.885,121.96629
154.35,105.36348
153.985,90.384094
156.33,91.37335
164.325,89.013535
152.39,148.78242
133.15,144.99355
120.715,153.02122
122.87,175.09293
148.2,207.73303
164.83,235.19
165.365,241.05708
167.265,233.89778
161.315,232.4128
149.935,229.3612
143.355,237.55727
141.035,235.37569
142.095,236.71017
146.395,255.00935
155.77,289.36215
176.29,303.65256
188.53,295.82684
192.505,270.03082
175.47,248.75409
143.305,218.59886
127.175,192.51605
125.67,177.26138
130.96,169.69896
131.11,171.57385
127.255,128.3586
121.69,120.044975
121.79,117.57446
134.21,121.963745
157.485,144.6532
177.08,163.24933
189.05,181.29271
