Ytrue,Yp
69.525,76.61384
19.825,75.54325
28.27,74.19357
18.21,58.565735
2.495,53.304184
-0.115,54.137135
-0.575,55.962296
-0.075,63.750923
4.735,75.85755
22.895,83.26269
67.115,86.0253
117.07,81.7961
135.075,80.07939
141.58,79.774605
153.885,83.69943
160.465,92.66751
148.605,93.008736
152.47,104.10665
179.36,122.16278
184.49,117.779976
170.84,106.43042
155.315,94.27268
149.77,90.41954
138.515,83.19189
138.81,78.72139
162.905,75.93878
178.915,75.143654
170.235,130.40868
150.7,123.60467
132.94,126.19374
125.01,134.77197
134.66,159.82695
133.785,219.6213
133.73,251.54797
151.545,248.67491
160.58,246.52995
163.43,240.86858
164.91,239.84125
164.62,250.53139
164.395,260.15332
159.235,259.19217
179.675,281.57098
224.655,292.42044
230.395,273.341
199.02,237.74484
169.35,213.95691
164.405,189.15729
153.305,163.11874
154.37,161.53644
168.125,165.72762
156.935,159.50095
127.525,113.67689
96.915,108.39456
95.895,111.31105
109.825,111.2253
134.755,122.55089
147.99,130.38066
151.54,141.10513
159.47,144.27731
162.03,147.44913
159.115,149.67465
155.21,147.49136
155.23,149.94865
157.675,152.56047
156.8,151.78807
158.965,172.79613
163.33,191.53383
154.965,181.49698
154.57,165.52715
155.91,154.99866
133.415,141.97842
102.935,132.61646
75.105,130.35292
54.4,129.31006
37.45,126.49465
18.955,59.636887
8.28,52.017048
7.675,55.8055
21.88,61.899323
59.225,74.38567
102.26,88.52964
128.7,99.68648
140.925,101.38227
145.07,101.387566
141.59,99.917786
140.435,102.3862
142.375,107.82078
137.515,114.31772
130.72,113.712875
146.06,128.5997
170.61,148.57846
173.23,139.296
161.645,126.77852
151.38,116.247345
140.745,102.21167
110.415,87.60976
78.02,89.100586
73.53,84.089905
77.26,82.89805
73.105,88.95882
73.855,86.82262
82.255,89.64715
94.19,98.296196
121.605,116.61696
140.28,130.22739
145.565,138.63553
165.805,137.07016
180.095,133.5359
170.855,130.68988
151.57,134.14398
141.205,137.62024
139.85,140.48491
138.96,146.17725
147.805,158.08157
156.245,180.95511
150.57,170.03423
146.37,152.82744
141.695,142.5817
132.77,129.50583
114.365,118.65563
90.245,115.17034
77.785,115.072
70.29,106.24204
58.87,77.01221
51.565,71.78042
52.23,74.32409
60.555,77.50198
82.1,90.84632
110.445,103.60691
124.86,116.12618
126.12,114.953125
123.395,110.5644
120.13,111.14929
125.005,107.71551
126.285,115.91105
125.025,127.66702
126.87,125.640594
138.38,139.61853
152.175,163.71442
146.24,151.40924
136.875,135.02798
132.795,119.72184
128.165,112.56107
114.29,104.19189
95.435,96.90664
85.215,90.06619
79.22,93.10491
70.7,74.14643
61.705,71.4951
58.34,71.448105
60.465,79.13824
70.85,89.707306
78.19,98.71978
105.34,105.438286
139.1,105.06773
152.99,100.979355
160.78,100.06353
153.675,97.34574
143.305,98.782005
126.475,106.33955
111.105,108.277016
123.58,119.17305
148.415,145.63614
145.235,143.97722
119.645,131.0076
89.935,115.202736
64.41,108.876755
50.575,101.0637
33.995,94.85524
20.63,92.2798
16.585,88.04282
9.665,58.76322
3.165,53.92609
1.44,56.135666
1.61,61.326374
9.12,74.0622
19.42,89.29188
34.94,98.00823
53.18,86.033745
69.475,78.3785
85.375,72.36693
98.815,68.75614
116.23,73.0187
127.75,77.197044
130.08,80.94663
146.925,98.60336
175.58,114.5306
181.38,115.23185
163.995,98.97373
145.82,85.21178
138.56,79.38878
104.525,74.92798
73.35,70.59804
74.05,68.7497
68.905,66.54914
60.975,68.50723
54.45,65.0135
57.59,66.45984
76.805,74.45117
107.81,91.38762
134.325,106.777985
151.3,111.0038
157.08,109.80881
150.75,98.69711
141.285,93.93309
136.565,93.50357
136.765,94.22191
138.635,95.01917
140.29,107.015625
151.17,122.919586
171.86,144.51169
173.545,146.08884
156.74,121.28629
147.63,107.86376
136.87,96.373634
111.68,86.10472
93.67,85.639656
88.78,82.73079
85.955,79.13065
83.7,72.91574
82.7,69.2678
87.48,69.98003
105.29,78.26162
133.09,91.30209
156.32,103.51138
165.895,112.800385
158.74,110.22429
148.265,102.897255
142.335,102.0533
138.255,93.45693
138.13,90.737
138.525,96.22974
136.085,99.604996
139.69,124.995865
149.415,139.80376
149.53,138.75264
144.715,126.65662
